2020-03-24 14:55:24 | 1585032924.9591 | ERROR | ErrorNO: 9999
2020-03-24 14:55:24 | 1585032924.9645 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 14:55:24 | 1585032924.9681 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 14:55:24 | 1585032924.9701 | ERROR | Line: 521
2020-03-24 14:55:24 | 1585032924.9720 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 14:55:24 | 1585032924.9740 | ERROR | ================================================================================
2020-03-24 14:55:31 | 1585032931.8666 | ERROR | ErrorNO: 9999
2020-03-24 14:55:31 | 1585032931.8698 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 14:55:31 | 1585032931.8719 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 14:55:31 | 1585032931.8740 | ERROR | Line: 521
2020-03-24 14:55:31 | 1585032931.8762 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 14:55:31 | 1585032931.8781 | ERROR | ================================================================================
2020-03-24 15:32:54 | 1585035174.7561 | ERROR | ErrorNO: 9999
2020-03-24 15:32:54 | 1585035174.7602 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 15:32:54 | 1585035174.7622 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:32:54 | 1585035174.7641 | ERROR | Line: 521
2020-03-24 15:32:54 | 1585035174.7661 | ERROR | SQL: SELECT * FROM `sl_news`
2020-03-24 15:32:54 | 1585035174.7680 | ERROR | ================================================================================
2020-03-24 15:46:41 | 1585036001.9075 | ERROR | ErrorNO: 9999
2020-03-24 15:46:41 | 1585036001.9122 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:46:41 | 1585036001.9141 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:46:41 | 1585036001.9160 | ERROR | Line: 521
2020-03-24 15:46:41 | 1585036001.9179 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:46:41 | 1585036001.9201 | ERROR | ================================================================================
2020-03-24 15:46:49 | 1585036009.4760 | ERROR | ErrorNO: 9999
2020-03-24 15:46:49 | 1585036009.4795 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:46:49 | 1585036009.4819 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:46:49 | 1585036009.4838 | ERROR | Line: 521
2020-03-24 15:46:49 | 1585036009.4859 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:46:49 | 1585036009.4879 | ERROR | ================================================================================
2020-03-24 15:47:12 | 1585036032.2751 | ERROR | ErrorNO: 9999
2020-03-24 15:47:12 | 1585036032.2789 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:47:12 | 1585036032.2807 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:47:12 | 1585036032.2824 | ERROR | Line: 521
2020-03-24 15:47:12 | 1585036032.2841 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:47:12 | 1585036032.2860 | ERROR | ================================================================================
2020-03-24 15:47:23 | 1585036043.9903 | ERROR | ErrorNO: 9999
2020-03-24 15:47:23 | 1585036043.9931 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:47:23 | 1585036043.9951 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 15:47:23 | 1585036043.9970 | ERROR | Line: 521
2020-03-24 15:47:23 | 1585036043.9991 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 15:47:24 | 1585036044.0012 | ERROR | ================================================================================
2020-03-24 15:47:26 | 1585036046.8460 | ERROR | ErrorNO: 9999
2020-03-24 15:47:26 | 1585036046.8483 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 15:47:26 | 1585036046.8502 | ERROR | File: /project/miniSwoole/library/core/Model.php
